,Dataset,Model,Scenario,Variant,Metric,File Name,size_bytes,last_modified,Grid Info,Year
0,NEX-GDDP-CMIP6,ACCESS-CM2,historical,r1i1p1f1,hurs,hurs_day_ACCESS-CM2_historical_r1i1p1f1_gn_1950_v1.1.nc,277746213,2023-09-06T20:59:44+00:00,gn,1950
1,NEX-GDDP-CMIP6,ACCESS-CM2,historical,r1i1p1f1,hurs,hurs_day_ACCESS-CM2_historical_r1i1p1f1_gn_1951_v1.1.nc,277459578,2023-09-06T20:59:48+00:00,gn,1951
2,NEX-GDDP-CMIP6,ACCESS-CM2,historical,r1i1p1f1,hurs,hurs_day_ACCESS-CM2_historical_r1i1p1f1_gn_1952_v1.1.nc,278323288,2023-09-06T20:59:52+00:00,gn,1952
3,NEX-GDDP-CMIP6,ACCESS-CM2,historical,r1i1p1f1,hurs,hurs_day_ACCESS-CM2_historical_r1i1p1f1_gn_1953_v1.1.nc,277620665,2023-09-06T20:59:54+00:00,gn,1953
4,NEX-GDDP-CMIP6,ACCESS-CM2,historical,r1i1p1f1,hurs,hurs_day_ACCESS-CM2_historical_r1i1p1f1_gn_1954_v1.1.nc,277488902,2023-09-06T20:59:57+00:00,gn,1954
5,NEX-GDDP-CMIP6,ACCESS-CM2,historical,r1i1p1f1,hurs,hurs_day_ACCESS-CM2_historical_r1i1p1f1_gn_1955_v1.1.nc,277688144,2023-09-06T21:00:00+00:00,gn,1955
6,NEX-GDDP-CMIP6,ACCESS-CM2,historical,r1i1p1f1,hurs,hurs_day_ACCESS-CM2_historical_r1i1p1f1_gn_1956_v1.1.nc,278500577,2023-09-06T21:00:03+00:00,gn,1956
7,NEX-GDDP-CMIP6,ACCESS-CM2,historical,r1i1p1f1,hurs,hurs_day_ACCESS-CM2_historical_r1i1p1f1_gn_1957_v1.1.nc,277659889,2023-09-06T21:00:06+00:00,gn,1957
8,NEX-GDDP-CMIP6,ACCESS-CM2,historical,r1i1p1f1,hurs,hurs_day_ACCESS-CM2_historical_r1i1p1f1_gn_1958_v1.1.nc,277553140,2023-09-06T21:00:08+00:00,gn,1958
9,NEX-GDDP-CMIP6,ACCESS-CM2,historical,r1i1p1f1,hurs,hurs_day_ACCESS-CM2_historical_r1i1p1f1_gn_1959_v1.1.nc,277672554,2023-09-06T21:00:11+00:00,gn,1959
10,NEX-GDDP-CMIP6,ACCESS-CM2,historical,r1i1p1f1,hurs,hurs_day_ACCESS-CM2_historical_r1i1p1f1_gn_1960_v1.1.nc,278646571,2023-09-06T21:00:14+00:00,gn,1960
11,NEX-GDDP-CMIP6,ACCESS-CM2,historical,r1i1p1f1,hurs,hurs_day_ACCESS-CM2_historical_r1i1p1f1_gn_1961_v1.1.nc,277559211,2023-09-06T21:00:17+00:00,gn,1961
12,NEX-GDDP-CMIP6,ACCESS-CM2,historical,r1i1p1f1,hurs,hurs_day_ACCESS-CM2_historical_r1i1p1f1_gn_1962_v1.1.nc,277407816,2023-09-06T21:00:19+00:00,gn,1962
13,NEX-GDDP-CMIP6,ACCESS-CM2,historical,r1i1p1f1,hurs,hurs_day_ACCESS-CM2_historical_r1i1p1f1_gn_1963_v1.1.nc,277526788,2023-09-06T21:00:22+00:00,gn,1963
14,NEX-GDDP-CMIP6,ACCESS-CM2,historical,r1i1p1f1,hurs,hurs_day_ACCESS-CM2_historical_r1i1p1f1_gn_1964_v1.1.nc,278281702,2023-09-06T21:00:25+00:00,gn,1964
15,NEX-GDDP-CMIP6,ACCESS-CM2,historical,r1i1p1f1,hurs,hurs_day_ACCESS-CM2_historical_r1i1p1f1_gn_1965_v1.1.nc,277692838,2023-09-06T21:00:28+00:00,gn,1965
16,NEX-GDDP-CMIP6,ACCESS-CM2,historical,r1i1p1f1,hurs,hurs_day_ACCESS-CM2_historical_r1i1p1f1_gn_1966_v1.1.nc,277336297,2023-09-06T21:00:31+00:00,gn,1966
17,NEX-GDDP-CMIP6,ACCESS-CM2,historical,r1i1p1f1,hurs,hurs_day_ACCESS-CM2_historical_r1i1p1f1_gn_1967_v1.1.nc,277210446,2023-09-06T21:00:33+00:00,gn,1967
18,NEX-GDDP-CMIP6,ACCESS-CM2,historical,r1i1p1f1,hurs,hurs_day_ACCESS-CM2_historical_r1i1p1f1_gn_1968_v1.1.nc,278128697,2023-09-06T21:00:37+00:00,gn,1968
19,NEX-GDDP-CMIP6,ACCESS-CM2,historical,r1i1p1f1,hurs,hurs_day_ACCESS-CM2_historical_r1i1p1f1_gn_1969_v1.1.nc,277548763,2023-09-06T21:00:39+00:00,gn,1969
20,NEX-GDDP-CMIP6,ACCESS-CM2,historical,r1i1p1f1,hurs,hurs_day_ACCESS-CM2_historical_r1i1p1f1_gn_1970_v1.1.nc,277587567,2023-09-06T21:00:42+00:00,gn,1970
21,NEX-GDDP-CMIP6,ACCESS-CM2,historical,r1i1p1f1,hurs,hurs_day_ACCESS-CM2_historical_r1i1p1f1_gn_1971_v1.1.nc,277516799,2023-09-06T21:00:45+00:00,gn,1971
